,0,0,0,0
141,https://www.zerozero.pt/jogo.php?id=7643006,2021-02-01,Sporting,Benfica
142,https://www.zerozero.pt/jogo.php?id=7642992,2021-02-02,Gil Vicente,Paços de Ferreira
143,https://www.zerozero.pt/jogo.php?id=7643060,2021-02-04,Farense,Santa Clara
144,https://www.zerozero.pt/jogo.php?id=7643050,2021-02-04,Belenenses SAD,FC Porto
145,https://www.zerozero.pt/jogo.php?id=7643056,2021-02-04,SC Braga,Portimonense
146,https://www.zerozero.pt/jogo.php?id=7643046,2021-02-04,FC Famalicão,Moreirense
147,https://www.zerozero.pt/jogo.php?id=7643062,2021-02-05,Rio Ave,Nacional
148,https://www.zerozero.pt/jogo.php?id=7643058,2021-02-05,Marítimo,Sporting
149,https://www.zerozero.pt/jogo.php?id=7643052,2021-02-05,Benfica,V. Guimarães
150,https://www.zerozero.pt/jogo.php?id=7643048,2021-02-05,Paços de Ferreira,CD Tondela
151,https://www.zerozero.pt/jogo.php?id=7643054,2021-02-05,Boavista,Gil Vicente
152,https://www.zerozero.pt/jogo.php?id=7642949,2021-02-07,SC Braga,FC Porto
153,https://www.zerozero.pt/jogo.php?id=7642947,2021-02-08,Farense,Moreirense
154,https://www.zerozero.pt/jogo.php?id=7642943,2021-02-08,Marítimo,Santa Clara
155,https://www.zerozero.pt/jogo.php?id=7642939,2021-02-08,Benfica,FC Famalicão
156,https://www.zerozero.pt/jogo.php?id=7642945,2021-02-08,Belenenses SAD,V. Guimarães
157,https://www.zerozero.pt/jogo.php?id=7642951,2021-02-09,Paços de Ferreira,Portimonense
158,https://www.zerozero.pt/jogo.php?id=7642955,2021-02-09,Rio Ave,CD Tondela
159,https://www.zerozero.pt/jogo.php?id=7642941,2021-02-09,Boavista,Nacional
160,https://www.zerozero.pt/jogo.php?id=7642953,2021-02-09,Gil Vicente,Sporting
161,https://www.zerozero.pt/jogo.php?id=7643015,2021-02-12,FC Famalicão,Belenenses SAD
162,https://www.zerozero.pt/jogo.php?id=7643025,2021-02-13,Nacional,Farense
163,https://www.zerozero.pt/jogo.php?id=7643027,2021-02-13,V. Guimarães,Rio Ave
164,https://www.zerozero.pt/jogo.php?id=7643019,2021-02-13,FC Porto,Boavista
165,https://www.zerozero.pt/jogo.php?id=7643011,2021-02-14,Portimonense,Gil Vicente
166,https://www.zerozero.pt/jogo.php?id=7643021,2021-02-14,Santa Clara,SC Braga
167,https://www.zerozero.pt/jogo.php?id=7643017,2021-02-14,Moreirense,Benfica
168,https://www.zerozero.pt/jogo.php?id=7643013,2021-02-15,Sporting,Paços de Ferreira
169,https://www.zerozero.pt/jogo.php?id=7643023,2021-02-16,CD Tondela,Marítimo
170,https://www.zerozero.pt/jogo.php?id=7642910,2021-02-17,V. Guimarães,Farense
171,https://www.zerozero.pt/jogo.php?id=7643075,2021-02-19,Boavista,Moreirense
172,https://www.zerozero.pt/jogo.php?id=7643067,2021-02-20,Belenenses SAD,Nacional
173,https://www.zerozero.pt/jogo.php?id=7643071,2021-02-20,Gil Vicente,Santa Clara
174,https://www.zerozero.pt/jogo.php?id=7643079,2021-02-20,Sporting,Portimonense
175,https://www.zerozero.pt/jogo.php?id=7643073,2021-02-21,Paços de Ferreira,V. Guimarães
176,https://www.zerozero.pt/jogo.php?id=7643065,2021-02-21,Rio Ave,FC Famalicão
177,https://www.zerozero.pt/jogo.php?id=7643081,2021-02-21,SC Braga,CD Tondela
178,https://www.zerozero.pt/jogo.php?id=7643069,2021-02-21,Farense,Benfica
179,https://www.zerozero.pt/jogo.php?id=7643077,2021-02-22,Marítimo,FC Porto
180,https://www.zerozero.pt/jogo.php?id=7643089,2021-02-26,V. Guimarães,Boavista
181,https://www.zerozero.pt/jogo.php?id=7643095,2021-02-27,FC Famalicão,Farense
182,https://www.zerozero.pt/jogo.php?id=7643085,2021-02-27,Santa Clara,Paços de Ferreira
183,https://www.zerozero.pt/jogo.php?id=7643099,2021-02-27,FC Porto,Sporting
184,https://www.zerozero.pt/jogo.php?id=7643093,2021-02-28,Portimonense,Marítimo
185,https://www.zerozero.pt/jogo.php?id=7643083,2021-02-28,CD Tondela,Gil Vicente
186,https://www.zerozero.pt/jogo.php?id=7643091,2021-02-28,Nacional,SC Braga
187,https://www.zerozero.pt/jogo.php?id=7643097,2021-03-01,Benfica,Rio Ave
188,https://www.zerozero.pt/jogo.php?id=7643087,2021-03-01,Moreirense,Belenenses SAD
189,https://www.zerozero.pt/jogo.php?id=7643031,2021-03-05,Paços de Ferreira,Nacional
190,https://www.zerozero.pt/jogo.php?id=7643035,2021-03-05,Sporting,Santa Clara
